chembank_id,cmap_name,chembank_name,match_distance,smiles
1714,metformin,metformin,0,CN(C)C(=N)NC(=N)N
1018627,phenformin,phenformin,0,NC(=N)NC(=N)NCCc1ccccc1
32656,phenyl biguanide,phenylbiguanide,0,NC(=N)NC(=N)Nc1ccccc1
471,valproic acid,valproic acid,0,CCCC(CCC)C(=O)O
386,estradiol,estradiol ,0,C[C@@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]2CC[C@@H]1O
467210,alpha-estradiol,alpha-estradiol,0,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O
3103895,dexamethasone,dexamethasone,0,C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)CC2(C)[C@@]1(O)C(=O)CO
1778,mesalazine,mesalazine,0,Nc1ccc(O)c(c1)C(=O)O
1132,chlorpropamide,chlorpropamide,0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
33089,tolbutamide,tolbutamide,0,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
368,tamoxifen,tamoxifen,0,CC/C(=C(\c1ccccc1)/c2ccc(OCCN(C)C)cc2)/c3ccccc3
1000056,verapamil,verapamil,0,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC
3614733,exemestane,exemestane,0,C[C@@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]2CCC1=O
1837,rofecoxib,rofecoxib,0,CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)OC2)c3ccccc3
1365,amitriptyline,amitriptyline,0,CN(C)CCC=C1c2ccccc2CCc3ccccc13
1212,sulindac,sulindac,0,CC/1=C(CC(=O)O)c2cc(F)ccc2\C1=C/c3ccc(cc3)S(=O)C
1907781,tacrolimus,tacrolimus,0,CO[C@@H]1C[C@@H](CC[C@H]1O)/C=C(\C)/[C@H]2OC(=O)C3CCCCN3C(=O)C(=O)[C@]4(O)O[C@@H]([C@H](C[C@H]4C)OC)[C@H](C[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)\C)OC
1694,raloxifene,raloxifene,0,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4
44537,nordihydroguaiaretic acid,nordihydroguaiaretic acid,0,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
1448,sulfasalazine,sulfasalazine,0,OC(=O)c1cc(N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3)ccc1O
1478,celecoxib,celecoxib,0,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F
3614754,LM-1685,LM-1685,0,COC(=O)c1cc2cc(ccc2n1Cc3ccc(Cl)cc3)S(=O)(=O)C
3614757,SC-58125,SC-58125,0,CS(=O)(=O)c1ccc(cc1)n2nc(cc2c3ccc(F)cc3)C(F)(F)F
50134,tanespimycin,tanespimycin,0,CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
191,tomelukast,tomelukast,0,CCCc1c(O)c(ccc1OCCCCc2nnn[nH]2)C(=O)C
58520,TTNPB,TTNPB,0,C\C(=C/c1ccc(cc1)C(O)=O)c1ccc2c(c1)C(C)(C)CCC2(C)C
104,tretinoin,tretinoin,0,C/C(=C\C=C\C(=C\C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C
321,LY-294002,LY 294002,0,O=c1cc(oc2c(cccc12)c3ccccc3)N4CCOCC4
3001895,ciclosporin,ciclosporin ,0,*C1N(C)C(=O)C(*)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C(=O)C(CC)NC(=O)C(C(O)C(C)C/C=C/C)N(C)C(=O)C(*)N(C)C1=O)C(C)C
406,indometacin, indometacin,0,Cc1c(CC(=O)O)c2cc(C=O)ccc2n1C(=O)c3ccc(Cl)cc3
